T_K,S,E_Vpm,delta_nm,c,rho_kg_m3,sigma_N_m,r_std_nm,N_std,G_std_eV,r_corr_nm,N_corr,G_corr_eV,barrier_change_pct,field_gain_J_per_molecule,CNT_validity_flag
253.0,3.0,0.0,-0.05,0.0,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.2772104037297127,289.8287754927623,3.932846529062583,27.03845489505041,0.0,preferred_CNT_range
253.0,3.0,0.0,0.0,0.0,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.2294285233815083,258.50206322384435,3.0957921617604334,-1.2231193852552933e-12,0.0,preferred_CNT_range
253.0,3.0,0.0,0.05,0.0,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.1775452687350618,227.1365343245604,2.412810057960457,-22.06162649535315,0.0,preferred_CNT_range
253.0,3.0,0.0,0.1,0.0,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.1223980629113646,196.69570865917112,1.8587822142642931,-39.95778407787985,0.0,preferred_CNT_range
253.0,3.0,0.0,-0.05,0.075,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.2772104037297127,289.8287754927623,3.932846529062583,27.03845489505041,0.0,preferred_CNT_range
253.0,3.0,0.0,0.0,0.075,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.2294285233815083,258.50206322384435,3.0957921617604334,-1.2231193852552933e-12,0.0,preferred_CNT_range
253.0,3.0,0.0,0.05,0.075,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.1775452687350618,227.1365343245604,2.412810057960457,-22.06162649535315,0.0,preferred_CNT_range
253.0,3.0,0.0,0.1,0.075,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.1223980629113646,196.69570865917112,1.8587822142642931,-39.95778407787985,0.0,preferred_CNT_range
253.0,3.0,0.0,-0.05,0.15,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.2772104037297127,289.8287754927623,3.932846529062583,27.03845489505041,0.0,preferred_CNT_range
253.0,3.0,0.0,0.0,0.15,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.2294285233815083,258.50206322384435,3.0957921617604334,-1.2231193852552933e-12,0.0,preferred_CNT_range
253.0,3.0,0.0,0.05,0.15,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.1775452687350618,227.1365343245604,2.412810057960457,-22.06162649535315,0.0,preferred_CNT_range
253.0,3.0,0.0,0.1,0.15,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.1223980629113646,196.69570865917112,1.8587822142642931,-39.95778407787985,0.0,preferred_CNT_range
253.0,3.0,0.0,-0.05,0.3,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.2772104037297127,289.8287754927623,3.932846529062583,27.03845489505041,0.0,preferred_CNT_range
253.0,3.0,0.0,0.0,0.3,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.2294285233815083,258.50206322384435,3.0957921617604334,-1.2231193852552933e-12,0.0,preferred_CNT_range
253.0,3.0,0.0,0.05,0.3,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.1775452687350618,227.1365343245604,2.412810057960457,-22.06162649535315,0.0,preferred_CNT_range
253.0,3.0,0.0,0.1,0.3,993.4714132445148,0.0783406314062995,1.2294284436875005,258.50201295399006,3.095792161760472,1.1223980629113646,196.69570865917112,1.8587822142642931,-39.95778407787985,0.0,preferred_CNT_range
253.0,3.0,100000000.0,-0.05,0.0,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.271154947232087,285.72591725143513,3.8987965701732223,27.185937166368618,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,0.0,0.0,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.2233848519489836,254.70851019849212,3.0654305476188832,0.0,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,0.05,0.0,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.171492905392794,223.65218631343043,2.3861413669452323,-22.15966632162972,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,0.1,0.0,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.1163241932002346,193.51969476409104,1.8356970930483263,-40.11617407302768,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,-0.05,0.075,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.2710862510996568,285.6795959007084,3.8984116069561705,27.17337895599421,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,0.0,0.075,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.2233136974470833,254.66406971913736,3.0650739754439043,-0.0116320422022293,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,0.05,0.075,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.1714188527651823,223.60977636346547,2.385814403316284,-22.170332478434403,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,0.1,0.075,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.1162459435354433,193.4790028488422,1.835400200419192,-40.12585925833924,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,-0.05,0.15,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.2710175636595895,285.6332854168594,3.898026664476944,27.16082142212589,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,0.0,0.15,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.2232425429395295,254.61963440574607,3.064717424008375,-0.0232634078453422,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,0.05,0.15,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.171344308132775,223.56709005748937,2.385487460383666,-22.180997960086625,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,0.1,0.15,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.1161674347386186,193.4381819110512,1.835103328559832,-40.13554376610247,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,-0.05,0.3,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.2708807148505832,285.541034056435,3.897256842368814,27.135708404682784,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,0.0,0.3,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.2231002339132448,254.5307792792661,3.0640043833556527,-0.0465241094546494,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,0.05,0.3,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.171195398366049,223.4818364964084,2.3848336368078096,-22.20232689139661,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,100000000.0,0.1,0.3,993.4714132445148,0.0783406314062995,1.2233848524647355,254.70851052063048,3.0654305476188832,1.116010940203835,193.35682913226444,1.8345096477110308,-40.15491073069614,1.8957463972371646e-23,preferred_CNT_range
253.0,3.0,200000000.0,-0.05,0.0,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.2534090282630552,273.9255959820343,3.799879128106796,27.62750305629258,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,0.0,0.0,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.205674604201165,243.80606166558528,2.977319964044729,-2.0187130321623797e-14,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,0.05,0.0,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.1537570690546552,213.6472388120032,2.3088514601485737,-22.452021011138907,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,0.1,0.0,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.0985239935236464,184.40929206260583,1.768901747435654,-40.58744881982463,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,-0.05,0.075,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.253139363862495,273.7488330368115,3.798386524677895,27.57737060674309,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,0.0,0.075,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.205394937706666,243.63644233801617,2.9759388947881127,-0.0463863230453937,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,0.05,0.075,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.15346438407077,213.48468602149936,2.307586784184701,-22.494498003170182,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,0.1,0.075,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.0982158688611712,184.25416086388904,1.7677552745118237,-40.62595569640073,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,-0.05,0.15,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.252869835581086,273.5722353183175,3.7968942423791687,27.527248943074177,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,0.0,0.15,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.2051152712116588,243.4669016994335,2.974558145919426,-0.0927618851402085,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,0.05,0.15,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.153171692284443,213.32221192864893,2.306322429080674,-22.536964218400502,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,0.1,0.15,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.0979071301323309,184.0988077875389,1.7666091232246155,-40.664451770086096,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,-0.05,0.3,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.2523306214687882,273.21916464635973,3.79391064036436,27.427037946243463,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,0.0,0.3,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.2045560964461248,243.12815222541565,2.971797610070083,-0.1854807021528313,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,0.05,0.3,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.152586335478398,212.9975259283667,2.3037946816588946,-22.621864311514628,7.560525120842671e-23,preferred_CNT_range
253.0,3.0,200000000.0,0.1,0.3,993.4714132445148,0.0783406314062995,1.20567460419698,243.8060616630465,2.977319964044729,1.0972899825449245,183.78852940740103,1.764317787148376,-40.74141145543772,7.560525120842671e-23,preferred_CNT_range
