replica,N,T_K,E_Vpm,Tstar,Estar,rho_star,L_star,alpha_ewald,mean_Estar,sd_Estar_time,mean_mz,acceptance
0,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-828.685824483604,27.445871238061642,-0.6782286294946211,0.65314
1,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-808.5759069129371,24.395167282596052,0.32739678617937296,0.65233
2,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-833.1491570433786,23.56598300124883,-0.28554351768725617,0.64324
3,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-799.7315802639267,26.893673492168308,-0.04694696719675569,0.65525997
4,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-847.0983381176952,26.195991940737592,0.726391528243368,0.64778
5,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-816.3875370916078,21.932424200831885,-0.5338772255407616,0.6495
6,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-822.9316760861553,26.133936211302537,0.39102899617459674,0.65055996
7,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-855.391691681994,30.456606831338394,0.15454391861611597,0.64002
0,20,233.0,1000000000.0,2.9796375237984467,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-1006.7949442387045,33.89361023392405,0.7986773679910256,0.6354
1,20,233.0,1000000000.0,2.9796375237984467,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-940.5897599277965,26.31720190867825,0.6152522070734527,0.65895
2,20,233.0,1000000000.0,2.9796375237984467,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-983.6248255780047,20.586236869678526,0.8314096353668581,0.63856
3,20,233.0,1000000000.0,2.9796375237984467,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-974.9717007355262,23.730823750298338,0.8553448951600936,0.64763
4,20,233.0,1000000000.0,2.9796375237984467,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-967.5004010700378,24.716078184966385,0.8324325756513961,0.64642
5,20,233.0,1000000000.0,2.9796375237984467,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-972.9966405670414,28.64320124537049,0.7890465879746146,0.63491
6,20,233.0,1000000000.0,2.9796375237984467,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-977.8789772309227,26.11853359841388,0.8385276562882428,0.64142996
7,20,233.0,1000000000.0,2.9796375237984467,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-1014.8065950776221,26.580075873510985,0.8140980747830571,0.62916
0,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204984,2.015873679831797,-2061.3776979821955,41.20012933322345,0.22807589089409724,0.644556
1,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204984,2.015873679831797,-2088.291091421092,40.64493452161484,-0.30926825760364784,0.642408
2,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204984,2.015873679831797,-2135.8857559950407,37.54326343710962,-0.5253908181617208,0.639392
3,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204984,2.015873679831797,-2058.938585419318,35.72992618193052,0.4638765341190262,0.648292
4,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204984,2.015873679831797,-2067.7669519457017,41.739059609651456,-0.3521636521526093,0.6464
5,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204984,2.015873679831797,-2078.356988285825,44.7893337726633,-0.2413021738669754,0.641572
6,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204984,2.015873679831797,-2052.0428700664197,33.197314689479,0.10806222977517768,0.645056
7,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204984,2.015873679831797,-2097.9234576847457,43.86709534031604,0.5443177581728769,0.641292
0,50,233.0,1000000000.0,2.9796375237984467,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2492.7679768190183,38.755438626607535,0.8825034758603464,0.6328
1,50,233.0,1000000000.0,2.9796375237984467,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2469.432905513111,47.145784193073084,0.8585291618715427,0.634208
2,50,233.0,1000000000.0,2.9796375237984467,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2475.9408496257824,38.869177650353805,0.8688273342898698,0.638012
3,50,233.0,1000000000.0,2.9796375237984467,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2533.8108534624416,38.10401557938218,0.8888589670732691,0.63286
4,50,233.0,1000000000.0,2.9796375237984467,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2468.9302855292303,41.17426666352892,0.8640256506096733,0.631428
