replica,N,T_K,E_Vpm_0,Tstar_0,Estar_0,rho_star_0,L_star_0,alpha_ewald_0,mean_Estar_0,sd_Estar_time_0,mean_mz_0,acceptance_0,E_Vpm_E,Tstar_E,Estar_E,rho_star_E,L_star_E,alpha_ewald_E,mean_Estar_E,sd_Estar_time_E,mean_mz_E,acceptance_E,delta_E,pct_change,lower_energy
0,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-828.685824483604,27.44587123806164,-0.6782286294946211,0.65314,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-1006.7949442387044,33.89361023392405,0.7986773679910256,0.6354,-178.10911975510032,21.4929608414732,True
1,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-808.5759069129371,24.39516728259605,0.3273967861793729,0.65233,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-940.5897599277964,26.31720190867825,0.6152522070734527,0.65895,-132.01385301485936,16.326711182735487,True
2,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-833.1491570433786,23.56598300124883,-0.2855435176872561,0.64324,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-983.6248255780048,20.58623686967853,0.8314096353668581,0.63856,-150.47566853462615,18.06107192961986,True
3,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-799.7315802639267,26.893673492168308,-0.0469469671967556,0.65525997,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-974.9717007355262,23.730823750298335,0.8553448951600936,0.64763,-175.24012047159943,21.912367198725207,True
4,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-847.0983381176952,26.195991940737592,0.726391528243368,0.64778,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-967.5004010700378,24.716078184966385,0.8324325756513961,0.64642,-120.40206295234259,14.213469385370699,True
5,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-816.3875370916078,21.932424200831885,-0.5338772255407616,0.6495,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-972.9966405670414,28.64320124537049,0.7890465879746146,0.63491,-156.60910347543359,19.1831815602374,True
6,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-822.9316760861553,26.133936211302537,0.3910289961745967,0.65055996,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-977.8789772309228,26.11853359841388,0.8385276562882428,0.64142996,-154.9473011447675,18.82869570432547,True
7,20,233.0,0.0,2.9796375237984467,0.0,0.8,2.924017738212866,2.735961514682715,-855.391691681994,30.456606831338394,0.1545439186161159,0.64002,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-1014.806595077622,26.580075873510985,0.8140980747830571,0.62916,-159.41490339562802,18.636480216702076,True
0,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204975,2.015873679831797,-2061.3776979821955,41.20012933322345,0.2280758908940972,0.644556,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2492.7679768190183,38.755438626607535,0.8825034758603464,0.6328,-431.39027883682274,20.92727981189931,True
1,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204975,2.015873679831797,-2088.291091421092,40.64493452161484,-0.3092682576036478,0.642408,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2469.432905513111,47.14578419307309,0.8585291618715427,0.634208,-381.1418140920191,18.251373846193555,True
2,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204975,2.015873679831797,-2135.8857559950407,37.54326343710962,-0.5253908181617208,0.639392,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2475.9408496257824,38.869177650353805,0.8688273342898698,0.638012,-340.0550936307418,15.921033822912547,True
3,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204975,2.015873679831797,-2058.938585419318,35.72992618193052,0.4638765341190262,0.648292,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2533.8108534624416,38.10401557938218,0.8888589670732691,0.63286,-474.87226804312377,23.06393553484319,True
4,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204975,2.015873679831797,-2067.7669519457017,41.739059609651456,-0.3521636521526093,0.6464,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2468.9302855292303,41.17426666352892,0.8640256506096733,0.631428,-401.1633335835286,19.40080013398255,True
5,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204975,2.015873679831797,-2078.356988285825,44.7893337726633,-0.2413021738669754,0.641572,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2498.0358054042413,41.29203520634725,0.8716109188552451,0.6281,-419.6788171184162,20.19281670491826,True
6,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204975,2.015873679831797,-2052.04287006642,33.197314689479,0.1080622297751776,0.645056,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2534.323073844026,42.99367895915202,0.876336577399097,0.630184,-482.28020377760595,23.502442897891093,True
7,50,233.0,0.0,2.9796375237984467,0.0,0.8,3.9685026299204975,2.015873679831797,-2097.9234576847457,43.86709534031604,0.5443177581728769,0.641292,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2479.734096845026,44.35386758273952,0.8788678023130387,0.641268,-381.8106391602805,18.199455168952838,True
0,100,233.0,0.0,2.9796375237984467,0.0,0.8,4.999999999999999,1.6000000000000003,-4125.379770785891,48.75771434681913,-0.0686389698163344,0.642942,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-5031.009356303212,60.18375157447419,0.8898659889870367,0.6348,-905.6295855173212,21.952635535050327,True
1,100,233.0,0.0,2.9796375237984467,0.0,0.8,4.999999999999999,1.6000000000000003,-4123.114214352753,62.0075943262199,0.0897716009373546,0.643632,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-5023.542514079608,74.84195155681232,0.8874043184228139,0.635928,-900.4282997268547,21.83854855614772,True
2,100,233.0,0.0,2.9796375237984467,0.0,0.8,4.999999999999999,1.6000000000000003,-4158.489854336002,60.47543266479381,-0.296267516668186,0.645828,1000000000.0,2.9796375237984467,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-4967.629837693215,63.517092167764304,0.8787940494799047,0.638016,-809.1399833572132,19.457543764680192,True
